generation,min_fitness,avg_fitness,max_fitness
194,-165.57,19.73,219.33
195,-139.86,-1.40,205.38
196,-167.05,11.87,222.11
197,-152.13,-0.55,203.80
198,-170.43,15.41,220.08
199,-151.83,22.88,207.31
200,-166.64,8.65,198.41
201,-138.46,18.88,208.88
202,-144.06,32.45,217.23
203,-170.59,27.81,217.08
204,-160.95,20.09,229.63
205,-148.75,19.20,224.94
206,-172.52,9.37,209.12
207,-157.28,6.37,208.69
208,-147.08,17.48,214.34
209,-128.14,7.07,200.48
210,-166.57,32.57,225.52
211,-158.71,26.37,220.02
212,-149.81,46.02,222.10
213,-134.64,48.35,212.17
214,-135.42,3.78,213.35
215,-131.57,21.96,222.27
216,-149.66,2.17,210.77
217,-144.70,35.68,223.42
218,-155.69,22.39,203.07
219,-149.09,32.12,224.44
220,-163.10,35.44,229.93
221,-157.33,20.29,210.80
222,-124.56,40.92,227.23
223,-148.40,44.35,227.79
224,-153.05,25.44,218.25
225,-155.77,50.88,228.91
226,-152.74,30.10,217.92
227,-139.51,25.01,215.69
228,-165.82,26.60,236.71
229,-160.68,16.65,215.71
230,-145.54,35.47,207.01
231,-143.81,13.62,213.38
232,-164.49,33.59,206.06
233,-146.41,31.41,211.66
234,-175.92,14.04,218.99
235,-142.98,47.54,228.68
236,-171.91,20.17,199.14
237,-131.43,43.42,204.67
238,-139.39,49.22,217.70
239,-161.49,28.21,203.94
240,-156.39,42.61,231.80
241,-160.72,31.63,233.31
242,-129.66,50.60,233.82
243,-164.14,51.81,224.97
244,-135.74,23.56,222.91
245,-159.15,39.06,221.09
246,-168.76,19.44,224.29
247,-166.72,35.33,238.09
248,-174.28,43.68,222.80
249,-166.28,30.15,213.59
250,-144.27,27.60,192.85
251,-172.09,51.77,217.64
252,-161.94,54.92,221.02
253,-149.13,49.89,234.95
254,-137.44,34.38,212.19
255,-127.43,31.01,232.82
256,-124.83,43.32,242.69
257,-162.75,46.99,251.21
258,-139.13,28.14,217.38
259,-147.49,26.77,238.05
260,-158.28,32.32,229.95
