generation,min_fitness,avg_fitness,max_fitness
186,-168.30,-111.98,-89.68
187,-180.22,-116.15,-90.88
188,-167.14,-113.46,-85.01
189,-179.01,-115.14,-90.01
190,-214.99,-108.71,-90.33
191,-181.21,-106.06,-87.83
192,-176.47,-109.98,-88.35
193,-193.57,-108.68,-90.38
194,-190.00,-105.91,-89.56
195,-170.21,-107.06,-90.46
196,-157.66,-104.42,-90.15
197,-172.63,-106.36,-91.01
198,-186.64,-104.35,-91.54
199,-189.50,-108.06,-91.74
200,-175.14,-106.16,-91.06
201,-171.88,-102.81,-91.03
202,-191.53,-105.60,-91.05
203,-245.71,-106.03,-91.20
204,-218.64,-109.14,-91.57
205,-230.32,-105.93,-90.58
206,-171.49,-106.71,-89.56
207,-217.33,-106.41,-89.25
208,-180.83,-106.43,-89.56
209,-192.01,-107.86,-90.29
210,-171.48,-103.66,-89.46
211,-151.56,-102.31,-87.70
212,-181.97,-108.46,-90.03
213,-166.95,-107.28,-92.60
214,-172.91,-111.47,-90.76
215,-178.69,-110.78,-91.89
216,-173.98,-107.85,-89.66
217,-182.40,-106.65,-90.83
218,-190.71,-109.63,-89.77
219,-175.99,-104.29,-90.48
220,-181.30,-105.52,-90.36
221,-177.79,-106.69,-88.95
222,-179.34,-105.94,-90.42
223,-162.50,-108.09,-89.81
224,-169.83,-110.90,-88.66
225,-160.26,-106.50,-84.37
226,-178.13,-107.92,-88.79
227,-171.89,-106.61,-87.81
228,-177.25,-106.34,-91.67
229,-169.16,-105.99,-90.55
230,-166.23,-107.91,-87.97
231,-174.12,-104.75,-88.86
232,-181.67,-106.02,-88.46
233,-182.69,-105.79,-88.05
234,-176.12,-106.35,-87.59
235,-168.13,-105.05,-87.25
236,-185.81,-114.62,-88.18
237,-179.46,-107.99,-88.29
238,-179.86,-111.53,-87.49
239,-185.55,-105.86,-87.65
240,-161.10,-108.10,-87.56
241,-177.23,-108.78,-89.33
242,-183.67,-107.94,-81.00
243,-178.10,-112.20,-83.90
244,-168.43,-106.51,-87.38
245,-184.53,-107.68,-84.80
246,-178.51,-108.53,-85.64
247,-182.80,-112.91,-84.00
248,-176.27,-109.60,-85.55
249,-182.57,-115.03,-87.88
250,-173.43,-105.77,-86.90
251,-171.29,-110.37,-88.46
252,-179.14,-107.85,-86.00
253,-184.52,-109.30,-73.58
254,-180.35,-108.21,-84.84
255,-178.52,-109.30,-87.31
256,-180.32,-111.91,-71.99
257,-185.64,-115.51,-77.93
258,-179.67,-110.26,-87.65
259,-176.75,-105.34,-85.30
260,-179.88,-105.81,-84.49
261,-184.96,-111.48,-70.05
262,-177.53,-105.92,-68.26
263,-172.41,-108.36,-87.25
264,-183.94,-107.57,-90.09
265,-179.39,-106.93,-77.99
266,-165.52,-106.52,-86.09
267,-182.05,-106.06,-86.06
268,-178.11,-111.28,-88.58
269,-175.15,-110.78,-85.39
270,-217.81,-107.49,-88.74
271,-176.10,-109.56,-84.90
272,-179.00,-106.01,-75.70
273,-172.71,-104.58,-59.03
274,-155.99,-102.05,-87.28
275,-160.75,-103.97,-62.98
276,-167.18,-104.99,-73.15
277,-178.65,-103.43,-49.09
278,-165.68,-99.75,9.91
279,-175.25,-106.75,-54.77
280,-178.19,-100.38,-6.40
281,-160.80,-91.41,-7.45
282,-166.31,-96.82,56.82
283,-168.43,-93.89,35.33
284,-162.32,-78.71,96.80
285,-150.30,-68.96,99.14
286,-129.07,-67.30,82.57
287,-160.35,-52.60,98.73
288,-175.56,-53.92,133.33
289,-165.20,-22.44,124.63
290,-151.96,-25.90,123.27
291,-144.00,-9.30,142.11
292,-122.83,-2.87,149.24
293,-178.39,4.70,149.06
294,-171.69,27.57,144.65
295,-169.49,24.69,152.33
296,-153.60,17.66,147.05
297,-176.96,10.12,160.99
298,-187.07,24.06,150.30
299,-172.76,46.00,151.40
300,-174.32,40.26,146.45
