generation,min_fitness,avg_fitness,max_fitness
186,-192.82,-107.16,-81.31
187,-194.24,-111.13,-88.15
188,-228.23,-107.94,-87.73
189,-158.62,-105.61,-83.07
190,-197.61,-106.96,-82.37
191,-206.43,-105.02,-84.08
192,-183.57,-105.90,-91.51
193,-170.32,-111.46,-87.95
194,-205.02,-113.11,-89.76
195,-171.29,-106.61,-86.61
196,-189.65,-106.37,-88.46
197,-188.01,-112.52,-90.15
198,-217.94,-106.51,-87.72
199,-172.16,-110.99,-89.44
200,-202.12,-108.68,-89.44
201,-187.60,-109.75,-87.67
202,-180.46,-105.73,-87.89
203,-179.71,-108.93,-85.31
204,-148.65,-106.82,-90.52
205,-206.82,-112.50,-85.74
206,-191.44,-109.16,-87.35
207,-195.02,-107.03,-86.38
208,-211.29,-113.73,-87.59
209,-199.68,-115.76,-84.35
210,-189.33,-111.50,-88.65
211,-178.75,-105.72,-88.99
212,-203.74,-108.43,-86.09
213,-182.06,-109.58,-84.14
214,-173.72,-112.00,-88.75
215,-211.30,-107.87,-88.42
216,-198.42,-115.38,-87.76
217,-210.26,-109.28,-85.89
218,-191.91,-117.11,-85.74
219,-191.25,-108.16,-82.05
220,-165.70,-110.11,-86.86
221,-167.40,-108.95,-88.72
222,-187.02,-111.63,-87.06
223,-183.43,-111.73,-86.96
224,-219.24,-111.60,-86.90
225,-172.29,-106.31,-84.71
226,-174.32,-105.87,-85.88
227,-177.70,-112.09,-85.53
228,-181.88,-110.36,-84.57
229,-199.09,-109.76,-82.79
230,-203.04,-112.09,-86.34
231,-203.05,-112.02,-81.79
232,-198.90,-111.14,-87.37
233,-216.07,-114.64,-87.93
234,-221.65,-114.85,-86.40
235,-217.11,-111.20,-87.24
236,-174.46,-107.03,-85.73
237,-206.70,-111.89,-87.40
238,-153.41,-102.31,-87.10
239,-204.08,-107.48,-88.02
240,-201.91,-109.14,-87.06
241,-191.50,-111.09,-88.29
242,-199.39,-108.38,-79.34
243,-223.50,-105.88,-84.38
244,-207.58,-111.04,-86.04
245,-197.64,-109.17,-82.14
246,-181.66,-107.69,-85.64
247,-208.65,-111.31,-80.10
248,-184.47,-106.37,-86.45
249,-209.01,-113.36,-84.53
250,-201.47,-108.54,-81.81
251,-194.35,-108.34,-79.27
252,-205.91,-116.53,-87.46
253,-200.67,-110.57,-86.18
254,-165.56,-108.41,-87.62
255,-171.34,-110.76,-84.25
256,-194.06,-108.67,-87.09
257,-178.14,-106.54,-86.43
258,-196.74,-109.62,-88.01
259,-194.97,-108.15,-88.27
260,-163.83,-105.62,-86.23
261,-199.56,-108.01,-83.06
262,-187.52,-106.66,-89.30
263,-175.20,-111.48,-86.53
264,-183.99,-110.04,-87.80
265,-178.18,-107.81,-86.74
266,-162.75,-104.25,-87.05
267,-166.20,-106.80,-85.12
268,-198.36,-107.76,-85.97
269,-199.35,-108.29,-80.68
270,-208.60,-108.62,-86.65
271,-193.44,-109.70,-87.14
272,-180.57,-113.17,-86.19
273,-175.64,-109.17,-85.06
274,-195.82,-115.14,-87.29
275,-194.97,-116.26,-85.70
276,-162.50,-110.79,-84.63
277,-212.47,-111.85,-84.37
278,-223.09,-111.14,-85.15
279,-165.38,-112.91,-87.90
280,-204.23,-119.32,-85.22
281,-199.60,-110.90,-88.18
282,-213.09,-111.01,-88.73
283,-210.03,-113.10,-86.36
284,-171.04,-105.40,-88.39
285,-228.79,-108.65,-86.40
286,-213.40,-107.06,-86.10
287,-174.92,-110.02,-89.30
288,-178.47,-107.47,-86.96
289,-166.68,-105.24,-87.31
290,-171.75,-104.94,-86.84
291,-186.50,-110.25,-86.04
292,-186.53,-112.60,-86.21
293,-163.83,-115.21,-85.26
294,-199.56,-112.11,-82.02
295,-187.52,-106.56,-89.35
296,-175.20,-111.68,-86.13
297,-183.99,-110.04,-87.30
298,-178.18,-107.81,-86.24
299,-162.75,-104.25,-87.15
300,-213.09,-111.01,-88.53

